year,site_code,site_name,pollutant_number,pollutant_name,average_aqi_fire_season
2008,1004,Edmund Orgill Park Ozone,44201,Ozone,52.05434782608695
2009,16,Gas Service Center collocated PM 10s,81102,PM10 Total 0-10um STP,18.0
2009,21,Frayser Ozone Monitor,44201,Ozone,38.5018115942029
2009,24,Alabama Ave. Station,42101,Carbon monoxide,4.271739130434782
2009,24,Alabama Ave. Station,88502,Acceptable PM2.5 AQI & Speciation Mass,52.83122362869198
2009,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,42401,Sulfur dioxide,4.901734104046243
2009,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,81102,PM10 Total 0-10um STP,18.689655172413794
2009,1004,Edmund Orgill Park Ozone,44201,Ozone,40.655797101449274
2010,16,Gas Service Center collocated PM 10s,81102,PM10 Total 0-10um STP,22.661016949152543
2010,21,Frayser Ozone Monitor,44201,Ozone,52.108695652173914
2010,24,Alabama Ave. Station,42101,Carbon monoxide,6.114130434782608
2010,24,Alabama Ave. Station,88502,Acceptable PM2.5 AQI & Speciation Mass,59.56903765690377
2010,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,42401,Sulfur dioxide,5.309782608695652
2010,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,81102,PM10 Total 0-10um STP,22.966666666666665
2010,1004,Edmund Orgill Park Ozone,44201,Ozone,52.018115942028984
2011,16,Gas Service Center collocated PM 10s,81102,PM10 Total 0-10um STP,20.258064516129032
2011,21,Frayser Ozone Monitor,44201,Ozone,54.18478260869565
2011,24,Alabama Ave. Station,42101,Carbon monoxide,5.880434782608695
2011,24,Alabama Ave. Station,88502,Acceptable PM2.5 AQI & Speciation Mass,57.42201834862385
2011,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,42401,Sulfur dioxide,6.9021739130434785
2011,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,81102,PM10 Total 0-10um STP,19.071428571428573
2011,75,Memphis NCORE site,42101,Carbon monoxide,3.1
2011,75,Memphis NCORE site,42401,Sulfur dioxide,1.2913385826771653
2011,75,Memphis NCORE site,44201,Ozone,57.5
2011,75,Memphis NCORE site,88502,Acceptable PM2.5 AQI & Speciation Mass,51.793577981651374
2011,1004,Edmund Orgill Park Ozone,44201,Ozone,53.61878453038674
2012,16,Gas Service Center collocated PM 10s,81102,PM10 Total 0-10um STP,20.0
2012,21,Frayser Ozone Monitor,44201,Ozone,57.13562386980109
2012,24,Alabama Ave. Station,42101,Carbon monoxide,5.034090909090909
2012,24,Alabama Ave. Station,88502,Acceptable PM2.5 AQI & Speciation Mass,53.875
2012,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,42401,Sulfur dioxide,4.5
2012,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,81102,PM10 Total 0-10um STP,18.966666666666665
2012,75,Memphis NCORE site,42101,Carbon monoxide,3.005586592178771
2012,75,Memphis NCORE site,42401,Sulfur dioxide,1.1055555555555556
2012,75,Memphis NCORE site,44201,Ozone,58.2481884057971
2012,75,Memphis NCORE site,88502,Acceptable PM2.5 AQI & Speciation Mass,53.54320987654321
2012,1004,Edmund Orgill Park Ozone,44201,Ozone,59.92028985507246
2013,16,Gas Service Center collocated PM 10s,81102,PM10 Total 0-10um STP,18.77777777777778
2013,21,Frayser Ozone Monitor,44201,Ozone,41.18978102189781
2013,24,Alabama Ave. Station,42101,Carbon monoxide,4.679347826086956
2013,24,Alabama Ave. Station,81102,PM10 Total 0-10um STP,19.517241379310345
2013,47,GUTHRIE CLINIC PM 2.5,88101,PM2.5 - Local Conditions,46.95054945054945
2013,75,Memphis NCORE site,42101,Carbon monoxide,2.505434782608696
2013,75,Memphis NCORE site,42401,Sulfur dioxide,2.6934306569343067
2013,75,Memphis NCORE site,44201,Ozone,43.63768115942029
2013,75,Memphis NCORE site,88101,PM2.5 - Local Conditions,45.96610169491525
2013,75,Memphis NCORE site,88502,Acceptable PM2.5 AQI & Speciation Mass,51.120535714285715
2013,1004,Edmund Orgill Park Ozone,44201,Ozone,41.56909090909091
2014,16,Gas Service Center collocated PM 10s,81102,PM10 Total 0-10um STP,20.2
2014,21,Frayser Ozone Monitor,44201,Ozone,39.29347826086956
2014,24,Alabama Ave. Station,42101,Carbon monoxide,3.7989130434782608
2014,24,Alabama Ave. Station,81102,PM10 Total 0-10um STP,21.40740740740741
2014,47,GUTHRIE CLINIC PM 2.5,88101,PM2.5 - Local Conditions,46.44927536231884
2014,75,Memphis NCORE site,42101,Carbon monoxide,2.9293478260869565
2014,75,Memphis NCORE site,42401,Sulfur dioxide,2.4293478260869565
2014,75,Memphis NCORE site,44201,Ozone,40.81238615664845
2014,75,Memphis NCORE site,88101,PM2.5 - Local Conditions,44.983050847457626
2014,75,Memphis NCORE site,88502,Acceptable PM2.5 AQI & Speciation Mass,51.327586206896555
2014,100,Near Road Site at Southwest Tennessee Community College,42101,Carbon monoxide,4.0
2014,100,Near Road Site at Southwest Tennessee Community College,42602,Nitrogen dioxide (NO2),21.715447154471544
2014,1004,Edmund Orgill Park Ozone,44201,Ozone,39.46376811594203
2015,16,Gas Service Center collocated PM 10s,81102,PM10 Total 0-10um STP,21.716666666666665
2015,21,Frayser Ozone Monitor,44201,Ozone,40.528985507246375
2015,24,Alabama Ave. Station,42101,Carbon monoxide,3.8076923076923075
2015,24,Alabama Ave. Station,81102,PM10 Total 0-10um STP,20.6
2015,47,GUTHRIE CLINIC PM 2.5,88101,PM2.5 - Local Conditions,45.639810426540286
2015,75,Memphis NCORE site,42101,Carbon monoxide,2.6420454545454546
2015,75,Memphis NCORE site,42401,Sulfur dioxide,1.5987261146496816
2015,75,Memphis NCORE site,44201,Ozone,42.858195211786374
2015,75,Memphis NCORE site,88101,PM2.5 - Local Conditions,43.80327868852459
2015,75,Memphis NCORE site,88502,Acceptable PM2.5 AQI & Speciation Mass,51.29775280898876
